VehicleID,SegmentID,TimeGapMinutes,Speed,Acceleration,MovementState,CleanFuel,NoisyFuel,EventLabel,RollingStd,FuelResidual
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.43131268675887,131.32526116308438,Normal,0.0,0.0
Synthetic_0,0,5.0,0.0,0.0,Stopped,131.34401873802406,131.1854441715716,Normal,0.09886554282380443,-0.13981699151278804
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.32490846842626,131.30350239643533,Normal,0.07523294878770022,0.11805822486374495
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.3157082105502,131.10865974606634,Normal,0.1019540990499205,-0.19484265036899728
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.28434105165007,131.17361119058063,Normal,0.09191403833457014,0.06495144451429269
Synthetic_0,0,5.0,0.0,0.0,Stopped,131.24663009923196,131.0070545207142,Normal,0.10881099265502528,-0.1665566698664236
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.21004399783172,131.602989024415,Normal,0.23006054590931665,0.5959345037007893
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.17211126667846,131.1791639770728,Normal,0.22807883991207648,-0.4238250473422056
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.15336545194117,131.01342035034264,Normal,0.24261990341468204,-0.16574362673014775
Synthetic_0,0,5.0,0.0,0.0,Stopped,131.10742896410218,131.15022494624904,Normal,0.24336556963251252,0.1368045959063977
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.0929261601621,131.07046055022394,Normal,0.23283653832205983,-0.079764396025098
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.08196981351102,131.0377758936044,Normal,0.07167745527902704,-0.03268465661955133
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.08100389668954,131.20383723669823,Normal,0.07972963310616704,0.16606134309384402
Synthetic_0,0,2.0,0.0,0.0,Stopped,131.0616559106216,131.21315745263107,Normal,0.07857604181051822,0.009320215932831388
Synthetic_0,0,5.0,0.0,0.0,Stopped,130.99395155791572,130.88785132839362,Normal,0.13400310303050558,-0.3253061242374429
Synthetic_0,0,2.0,0.0,0.0,Stopped,130.98575900570648,130.87059535757754,Normal,0.16480541714871205,-0.017255970816080435
Synthetic_0,0,5.0,0.0,0.0,Stopped,130.9128422308327,130.85783189140236,Normal,0.18459344093663324,-0.012763466175186977
