VehicleID,SegmentID,Source,start_time,end_time,start_row,end_row,extreme_row,direction,baseline_before,baseline_after,extreme_value,amplitude,duration_points,duration_minutes,return_ratio,suggested_label,current_labels,source_rows
Car 1,0,CarFuelHistory.xlsx,2025-11-20 12:05:01.000001,2025-11-20 12:30:00.999999,152,157,156,DOWN,173.3,170.75,163.9,9.400000000000006,6,24.999999966666667,0.7287234042553181,TRANSIENT_DOWN_NOISE,SLOSHING_NOISE,152;153;154;155;156;157
Car 1,0,CarFuelHistory.xlsx,2025-11-20 12:10:00.999998,2025-11-20 12:30:00.999999,153,157,156,DOWN,170.55,170.75,163.9,6.650000000000006,5,20.000000016666668,0.969924812030077,TRANSIENT_DOWN_NOISE,SLOSHING_NOISE,153;154;155;156;157
Car 1,0,CarFuelHistory.xlsx,2025-11-20 12:15:00.999996,2025-11-20 12:30:00.999999,154,157,156,DOWN,169.3,170.75,163.9,5.400000000000006,4,15.00000005,0.7314814814814838,TRANSIENT_DOWN_NOISE,SLOSHING_NOISE,154;155;156;157
Car 1,0,CarFuelHistory.xlsx,2025-11-20 12:50:01.000001,2025-11-20 13:20:00.999998,161,167,162,UP,168.75,170.2,174.4,5.650000000000006,7,29.99999995,0.7433628318584093,TRANSIENT_UP_NOISE,"SLOSHING_NOISE,STABLE_JITTER,UNKNOWN",161;162;163;164;165;166;167
Car 1,0,CarFuelHistory.xlsx,2025-11-20 19:20:00.999998,2025-11-20 19:50:01.000003,239,245,244,DOWN,130.89999999999998,129.35,122.9,7.999999999999972,7,30.000000083333337,0.8062500000000015,TRANSIENT_DOWN_NOISE,"STABLE_JITTER,TRANSIENT_DOWN_NOISE,SLOSHING_NOISE",239;240;241;242;243;244;245
Car 1,0,CarFuelHistory.xlsx,2025-11-20 19:25:01.000004,2025-11-20 19:50:01.000003,240,245,244,DOWN,130.39999999999998,129.35,122.9,7.499999999999972,6,24.999999983333332,0.8600000000000018,TRANSIENT_DOWN_NOISE,"STABLE_JITTER,TRANSIENT_DOWN_NOISE,SLOSHING_NOISE",240;241;242;243;244;245
Car 1,0,CarFuelHistory.xlsx,2025-11-20 19:30:01.000002,2025-11-20 19:50:01.000003,241,245,244,DOWN,130.14999999999998,129.35,122.9,7.249999999999972,5,20.000000016666668,0.889655172413795,TRANSIENT_DOWN_NOISE,"STABLE_JITTER,TRANSIENT_DOWN_NOISE,SLOSHING_NOISE",241;242;243;244;245
Car 1,0,CarFuelHistory.xlsx,2025-11-20 19:35:01.000001,2025-11-20 19:50:01.000003,242,245,244,DOWN,130.14999999999998,129.35,122.9,7.249999999999972,4,15.000000033333333,0.889655172413795,TRANSIENT_DOWN_NOISE,"STABLE_JITTER,TRANSIENT_DOWN_NOISE,SLOSHING_NOISE",242;243;244;245
Car 1,0,CarFuelHistory.xlsx,2025-11-20 19:40:00.999998,2025-11-20 19:45:00.999996,243,244,244,DOWN,129.95,127.7,122.9,7.049999999999983,2,4.999999966666667,0.6808510638297884,TRANSIENT_DOWN_NOISE,"STABLE_JITTER,TRANSIENT_DOWN_NOISE",243;244
Car 1,0,CarFuelHistory.xlsx,2025-11-20 19:45:00.999996,2025-11-20 19:50:01.000003,244,245,244,DOWN,129.55,129.35,122.9,6.650000000000006,2,5.0000001166666665,0.9699248120300726,TRANSIENT_DOWN_NOISE,"TRANSIENT_DOWN_NOISE,SLOSHING_NOISE",244;245
