event_id,decision,final_label,note
1,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
2,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
5,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
7,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
8,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
9,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
11,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
12,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
13,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
14,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
15,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
16,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
17,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
18,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
19,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
22,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
23,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
24,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
26,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
28,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
30,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
31,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
32,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
33,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
35,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
36,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
37,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
38,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
39,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
40,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
41,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
43,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
44,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
45,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
46,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
47,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
48,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
50,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
51,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
52,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
54,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
58,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
59,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
60,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
61,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
62,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
63,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
64,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
65,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
68,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
69,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
72,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
73,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
74,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
75,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
77,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
79,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
80,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
81,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
82,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
83,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
84,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
85,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
87,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
88,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
89,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
90,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
92,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
93,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
94,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
95,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
96,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
97,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
99,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
100,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
101,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
102,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
103,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
104,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
105,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
106,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
107,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
109,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
110,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
111,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
112,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
113,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
116,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
118,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
119,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
121,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
124,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
129,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
130,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
131,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
132,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
134,ACCEPT,OSCILLATION_NOISE,auto_high_confidence_spike
